,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,z,Deltatime,x,y,weight_calc,weights,Classe,Classe_spaziale
17,2011-06-12,250,23.02,44.5183,9.4722,12.46,2,51,98,14,0.26,1.3,1.3,-12460.0,-12460.0,8197,1537555.0883512178,4929568.260483564,1.875,1.0,0,0
18,2011-06-12,257,31.96,44.5505,9.454,6.04,2,38,99,17,0.2,1.2,1.4,-6040.0,-6040.0,8197,1536088.7909439725,4933136.85825102,1.3333333333333333,1.0,0,0
19,2011-06-12,424,9.91,44.5462,9.4385,6.0,2,32,95,18,0.24,1.2,1.8,-6000.0,-6000.0,8197,1534860.1784231062,4932652.489271509,1.0833333333333333,1.0,0,0
20,2011-06-12,430,50.63,44.5312,9.4695,11.27,2,32,99,15,0.2,1.2,1.7,-11270.0,-11270.0,8197,1537332.2794880327,4930999.959782127,1.0833333333333333,1.0,0,0
21,2011-06-12,1755,27.1,44.5312,9.467,11.22,2,43,99,15,0.27,1.5,1.5,-11220.0,-11220.0,8197,1537133.6372459452,4930998.822090642,1.5416666666666667,1.0,0,0
25,2011-08-22,1958,22.31,44.5312,9.4513,5.73,2,16,103,16,0.12,1.2,1.3,-5730.0,-5730.0,8268,1535886.1639949984,4930991.816345827,0.41666666666666663,0.41666666666666663,0,0
26,2011-08-24,340,1.6,44.514,9.4643,13.08,2,34,96,13,0.13,0.7,0.5,-13080.0,-13080.0,8270,1536929.952124613,4929087.021191297,1.1666666666666667,1.0,0,0
32,2011-10-06,933,7.53,44.559,9.4878,6.44,2,10,161,18,0.07,1.1,1.6,-6440.0,-6440.0,8313,1538767.9109407489,4934096.51399433,0.16666666666666669,0.16666666666666669,0,0
33,2011-10-06,1116,8.34,44.5268,9.467,12.68,2,30,98,15,0.2,1.1,1.2,-12680.0,-12680.0,8313,1537136.428914527,4930510.068768383,1.0,1.0,0,0
34,2011-10-06,1124,1.31,44.5677,9.4853,6.04,2,10,161,19,0.16,2.7,2.2,-6040.0,-6040.0,8313,1538563.623319423,4935061.736239503,0.16666666666666669,0.16666666666666669,0,0
