,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,z,Data_subtr,Deltatime,x,y,weight_calc,weights,Classe,Classe_spaziale
17,2011-06-12,250,23.02,44.5183,9.4722,12.46,2,51,98,14,0.26,1.3,1.3,-12460.0,-12460.0,1989-01-01,8197,5659728.254793804,1282674.01537262,1.875,1.0,0,0
18,2011-06-12,257,31.96,44.5505,9.454,6.04,2,38,99,17,0.2,1.2,1.4,-6040.0,-6040.0,1989-01-01,8197,5664307.197584717,1280736.720886215,1.3333333333333333,1.0,0,0
19,2011-06-12,424,9.91,44.5462,9.4385,6.0,2,32,95,18,0.24,1.2,1.8,-6000.0,-6000.0,1989-01-01,8197,5663978.835836666,1278588.4241259287,1.0833333333333333,1.0,0,0
20,2011-06-12,430,50.63,44.5312,9.4695,11.27,2,32,99,15,0.2,1.2,1.7,-11270.0,-11270.0,1989-01-01,8197,5661489.823424488,1282514.2507436133,1.0833333333333333,1.0,0,0
21,2011-06-12,1755,27.1,44.5312,9.467,11.22,2,43,99,15,0.27,1.5,1.5,-11220.0,-11220.0,1989-01-01,8197,5661529.367778144,1282178.7163242004,1.5416666666666667,1.0,0,0
25,2011-08-22,1958,22.31,44.5312,9.4513,5.73,2,16,103,16,0.12,1.2,1.3,-5730.0,-5730.0,1989-01-01,8268,5661777.476309408,1280071.5058854574,0.41666666666666663,0.41666666666666663,0,0
26,2011-08-24,340,1.6,44.514,9.4643,13.08,2,34,96,13,0.13,0.7,0.5,-13080.0,-13080.0,1989-01-01,8270,5659280.217455193,1281546.429072153,1.1666666666666667,1.0,0,0
33,2011-10-06,1116,8.34,44.5268,9.467,12.68,2,30,98,15,0.2,1.1,1.2,-12680.0,-12680.0,1989-01-01,8313,5660943.047121635,1282109.6302806186,1.0,1.0,0,0
37,2011-10-18,146,45.49,44.5227,9.4513,12.33,2,30,182,15,0.22,1.7,1.3,-12330.0,-12330.0,1989-01-01,8325,5660644.735552922,1279938.2646522096,1.0,1.0,0,0
38,2011-10-18,151,47.8,44.5398,9.4697,8.39,2,30,186,16,0.19,0.8,1.4,-8390.0,-8390.0,1989-01-01,8325,5662632.718071282,1282676.2040089131,1.0,1.0,0,0
39,2011-10-18,211,48.62,44.5227,9.4695,12.33,2,34,98,14,0.27,1.0,1.1,-12330.0,-12330.0,1989-01-01,8325,5660357.201734487,1282380.76941868,1.1666666666666667,1.0,0,0
40,2011-10-18,257,5.59,44.5558,9.4788,9.96,2,16,125,17,0.13,1.1,1.5,-9960.0,-9960.0,1989-01-01,8325,5664621.021575224,1284149.3953453705,0.41666666666666663,0.41666666666666663,0,0
41,2011-10-18,458,42.52,44.5227,9.4982,14.1,2,12,126,13,0.1,1.7,1.1,-14100.0,-14100.0,1989-01-01,8325,5659902.700078309,1286232.1557650839,0.25,0.25,0,0
42,2011-10-20,610,52.09,44.5173,9.4838,12.97,2,32,82,13,0.16,0.9,0.8,-12970.0,-12970.0,1989-01-01,8327,5659411.477793188,1284214.90106662,1.0833333333333333,1.0,0,0
43,2011-10-20,616,44.21,44.543,9.4632,9.43,2,32,187,16,0.17,0.9,1.4,-9430.0,-9430.0,1989-01-01,8327,5663162.043174276,1281853.97915851,1.0833333333333333,1.0,0,0
44,2011-10-20,628,48.28,44.559,9.4385,9.36,2,24,190,19,0.17,1.3,1.1,-9360.0,-9360.0,1989-01-01,8327,5665685.242562041,1278789.0659247113,0.75,0.75,0,0
45,2011-10-20,639,13.33,44.5527,9.454,11.44,2,26,189,18,0.13,1.1,1.0,-11440.0,-11440.0,1989-01-01,8327,5664600.456603313,1280771.2575142414,0.8333333333333333,0.8333333333333333,0,0
47,2011-10-20,918,27.69,44.5227,9.48,14.01,2,18,100,14,0.15,2.2,0.7,-14010.0,-14010.0,1989-01-01,8327,5660191.074372329,1283789.849551815,0.5,0.5,0,0
48,2011-10-20,935,10.81,44.5558,9.4475,5.98,2,20,98,18,0.15,1.2,2.2,-5980.0,-5980.0,1989-01-01,8327,5665116.453131875,1279947.247943243,0.5833333333333334,0.5833333333333334,0,0
49,2011-10-20,1228,35.6,44.5633,9.4593,6.44,2,34,102,19,0.17,0.8,1.0,-6440.0,-6440.0,1989-01-01,8327,5665929.670494072,1281649.3337881244,1.1666666666666667,1.0,0,0
50,2011-10-20,1254,56.78,44.5087,9.4785,13.59,2,10,119,12,0.08,1.7,3.3,-13590.0,-13590.0,1989-01-01,8327,5658349.662797144,1283368.6283992298,0.16666666666666669,0.16666666666666669,0,0
51,2011-10-20,1410,43.71,44.5612,9.4645,8.04,2,14,123,18,0.12,0.8,1.4,-8039.999999999999,-8039.999999999999,1989-01-01,8327,5665567.396198214,1282314.4990579311,0.33333333333333337,0.33333333333333337,0,0
52,2011-10-20,1627,38.3,44.5312,9.4618,6.0,2,26,98,15,0.2,1.1,1.2,-6000.0,-6000.0,1989-01-01,8327,5661611.5878044,1281480.7971224796,0.8333333333333333,0.8333333333333333,0,0
53,2011-10-22,1400,37.41,44.544,9.4437,10.91,2,26,96,17,0.19,1.5,1.9,-10910.0,-10910.0,1989-01-01,8329,5663603.496542687,1279252.0200011444,0.8333333333333333,0.8333333333333333,0,0
54,2011-10-24,1845,44.36,44.557,9.4412,5.82,2,32,97,19,0.2,0.9,1.0,-5820.0,-5820.0,1989-01-01,8331,5665375.961846807,1279120.2219254537,1.0833333333333333,1.0,0,0
55,2011-10-27,1224,24.18,44.5462,9.454,6.18,2,36,98,17,0.22,1.1,1.4,-6180.0,-6180.0,1989-01-01,8334,5663734.031064009,1280669.2281617902,1.25,1.0,0,0
56,2011-10-30,1531,11.1,44.5258,9.4838,13.24,2,8,239,14,0.04,1.6,0.9,-13240.0,-13240.0,1989-01-01,8337,5660543.935101763,1284348.5358208045,0.08333333333333331,0.08333333333333331,0,0
57,2011-10-31,343,41.94,44.5205,9.4773,13.04,2,26,99,14,0.23,1.8,0.8,-13040.0,-13040.0,1989-01-01,8338,5659940.69198876,1283392.9529390945,0.8333333333333333,0.8333333333333333,0,0
58,2011-10-31,816,11.76,44.5258,9.4683,12.71,2,16,121,15,0.1,1.5,1.9,-12710.0,-12710.0,1989-01-01,8338,5660789.240186076,1282268.3982723725,0.41666666666666663,0.41666666666666663,0,0
59,2011-10-31,1333,49.33,44.5227,9.4695,13.44,2,10,153,14,0.04,1.1,0.9,-13440.0,-13440.0,1989-01-01,8338,5660357.201734487,1282380.76941868,0.16666666666666669,0.16666666666666669,0,0
60,2011-11-01,750,24.22,44.5227,9.5007,14.94,2,8,175,13,0.03,1.8,0.9,-14940.0,-14940.0,1989-01-01,8339,5659863.046599167,1286567.6275349793,0.08333333333333331,0.08333333333333331,0,0
61,2011-11-03,1025,48.49,44.5483,9.454,10.65,2,26,99,17,0.23,1.2,1.5,-10650.0,-10650.0,1989-01-01,8341,5664013.946033677,1280702.1879588442,0.8333333333333333,0.8333333333333333,0,0
62,2011-11-10,1625,31.1,44.5387,9.4475,11.38,2,24,96,16,0.14,1.2,1.1,-11380.0,-11380.0,1989-01-01,8348,5662837.059955923,1279679.0337178844,0.75,0.75,0,0
