,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
1544,2006-09-02,121,30.34,43.9115,7.6345,8.21,2,86,78,0,0.35,0.7,0.6,-8210.0,1390384.1578780347,4862966.912014803,-8210.0,6453,3.3333333333333335,1.0,1,9
1545,2006-09-02,208,44.81,43.9287,7.6368,7.55,2,48,60,0,0.26,0.8,0.7,-7550.0,1390600.380351129,4864874.257423767,-7550.0,6453,1.75,1.0,1,9
1546,2006-09-03,307,14.98,43.9352,7.6498,7.73,2,18,112,0,0.23,1.1,1.0,-7730.0,1391655.7313240482,4865579.060521393,-7730.0,6454,0.5,0.5,1,9
1547,2006-09-05,1918,0.67,43.9287,7.6447,7.11,2,39,62,0,0.26,0.6,0.6,-7110.0,1391234.5327920911,4864863.815645665,-7110.0,6456,1.375,1.0,1,9
1549,2006-09-07,103,40.56,43.9243,7.637,8.08,2,24,74,0,0.27,0.6,0.5,-8080.0,1390608.3660543736,4864385.285662199,-8080.0,6458,0.75,0.75,1,9
1550,2006-09-08,105,6.2,43.9223,7.637,7.99,2,26,111,0,0.26,0.9,0.7,-7990.0,1390604.6986371535,4864163.14638733,-7990.0,6459,0.8333333333333333,0.8333333333333333,1,9
1556,2006-09-12,536,14.23,43.9202,7.6448,5.82,2,12,166,0,0.18,1.0,0.6,-5820.0,1391227.0623982323,4863919.591880935,-5820.0,6463,0.25,0.25,1,9
1577,2006-10-17,1056,27.68,43.9393,7.642,5.25,2,19,115,0,0.21,0.8,1.0,-5250.0,1391037.1669423888,4866044.717677738,-5250.0,6498,0.5416666666666666,0.5416666666666666,1,9
1582,2006-10-24,1731,48.1,43.9373,7.6368,8.43,2,112,54,0,0.4,0.8,0.7,-8430.0,1390616.1553564852,4865829.457844358,-8430.0,6505,4.416666666666667,1.0,1,9
1586,2006-10-28,2324,43.81,43.9308,7.6472,6.49,2,15,108,0,0.2,0.8,1.1,-6490.0,1391439.0363448013,4865093.770378411,-6490.0,6509,0.375,0.375,1,9
